subject,sex,age,score
sub55,M,53,60
sub56,F,47,50
sub57,M,74,78
sub58,F,71,78
sub59,M,86,96
sub60,F,56,63
sub61,M,20,29
sub62,F,23,29
sub63,M,29,35
sub64,F,83,89
sub65,M,51,58
sub66,F,69,72
sub67,M,76,79
sub68,F,57,59
sub69,M,41,42
sub70,F,39,48
sub71,M,61,71
sub72,F,23,27
sub73,M,46,49
sub74,F,75,83
sub75,M,74,75
sub76,F,49,52
sub77,M,58,61
sub78,F,20,20
sub79,M,18,24
sub80,F,36,40
sub81,M,52,54
sub82,F,20,22
sub83,M,66,69
sub84,F,22,22
sub85,M,83,90
sub86,F,52,53
sub87,M,51,55
sub88,F,38,44
sub89,M,59,68
sub90,F,51,56
sub91,M,29,35
sub92,F,42,48
sub93,M,38,40
sub94,F,51,58
sub95,M,22,26
sub96,F,81,89
sub97,M,24,31
sub98,F,79,83
sub99,M,73,80
